,count,unique,top,freq,mean,std,min,25%,50%,75%,max
location,3000,3,Warehouse_A,1031,,,,,,,
temperature,3000.0,,,,24.89582,5.188618883309772,7.6,21.4075,24.95,28.44,42.09
humidity,3000.0,,,,49.945476666666664,10.198968128676162,16.12,43.1375,50.09,56.78,80.87
vibration_level,3000.0,,,,1.4818633333333333,1.5019840478565547,0.0,0.4,1.02,2.0524999999999998,13.2
inventory_status,3000,2,in-stock,2694,,,,,,,
stock_quantity,3000.0,,,,249.59966666666668,144.33310805881024,0.0,124.0,250.0,374.0,499.0
supplier_rating,3000.0,,,,2.9928700000000004,1.1519045494876634,1.0,1.99,2.99,3.98,5.0
logistics_partner,3000,4,FedEx,799,,,,,,,
weather_condition,3000,3,sunny,2028,,,,,,,
manual_risk_label,3000.0,,,,0.3343333333333333,0.4932568529646135,0.0,0.0,0.0,1.0,2.0
