feature,coefficient,abs_coefficient
quarter,0.05585789701858569,0.05585789701858569
cargo_condition_status,-0.046380903961199135,0.046380903961199135
month,-0.03806453911796393,0.03806453911796393
day_of_week,0.028817187405254595,0.028817187405254595
delay_probability,0.02373756650004933,0.02373756650004933
driver_behavior_score,-0.021004346516028834,0.021004346516028834
route_risk_level,-0.01805045547916896,0.01805045547916896
delivery_time_deviation,-0.01594252052716761,0.01594252052716761
order_fulfillment_status,-0.015669996048076177,0.015669996048076177
shipping_costs,0.01490861712858944,0.01490861712858944
hour,0.013294326928138683,0.013294326928138683
warehouse_inventory_level,0.012815853114658918,0.012815853114658918
vehicle_gps_latitude,0.011377327770862242,0.011377327770862242
lead_time_days,0.008386275112333119,0.008386275112333119
is_weekend,-0.0081669924864954,0.0081669924864954
port_congestion_level,0.007430187910796882,0.007430187910796882
vehicle_gps_longitude,-0.007225822566518438,0.007225822566518438
traffic_congestion_level,-0.007094950503347856,0.007094950503347856
fatigue_monitoring_score,-0.0056936865092761385,0.0056936865092761385
eta_variation_hours,0.0050374967788449345,0.0050374967788449345
handling_equipment_availability,-0.004478629767913504,0.004478629767913504
loading_unloading_time,0.003826334068294407,0.003826334068294407
iot_temperature,-0.003564015945335831,0.003564015945335831
weather_condition_severity,0.002877348473817467,0.002877348473817467
historical_demand,0.0005089144745144194,0.0005089144745144194
customs_clearance_time,-0.00034822059790087903,0.00034822059790087903
supplier_reliability_score,-0.00032788821261642986,0.00032788821261642986
fuel_consumption_rate,8.391117892532761e-05,8.391117892532761e-05
