feature,coefficient,abs_coefficient
day_of_week,-0.04362340786324656,0.04362340786324656
quarter,0.041985521964027356,0.041985521964027356
month,-0.036817539858792166,0.036817539858792166
cargo_condition_status,0.0343042207131245,0.0343042207131245
order_fulfillment_status,0.026230216600363766,0.026230216600363766
is_weekend,0.01796513941599536,0.01796513941599536
lead_time_days,-0.01782300981260717,0.01782300981260717
traffic_congestion_level,0.015264959190032614,0.015264959190032614
handling_equipment_availability,-0.012440487599072084,0.012440487599072084
delay_probability,-0.010318300515048229,0.010318300515048229
customs_clearance_time,-0.010129605983962843,0.010129605983962843
delivery_time_deviation,0.01004547916549793,0.01004547916549793
weather_condition_severity,-0.009244763443428188,0.009244763443428188
driver_behavior_score,0.008395555148366712,0.008395555148366712
loading_unloading_time,-0.007608561836828796,0.007608561836828796
iot_temperature,0.006548045431402677,0.006548045431402677
port_congestion_level,-0.006260743007170174,0.006260743007170174
eta_variation_hours,-0.006259685706825785,0.006259685706825785
supplier_reliability_score,-0.006194399760901056,0.006194399760901056
fatigue_monitoring_score,0.005778039147766373,0.005778039147766373
fuel_consumption_rate,-0.0038862268512487733,0.0038862268512487733
historical_demand,-0.002798320331361958,0.002798320331361958
warehouse_inventory_level,-0.002623594116813734,0.002623594116813734
hour,-0.0022361900772904617,0.0022361900772904617
vehicle_gps_latitude,0.0022311311652321157,0.0022311311652321157
route_risk_level,0.001701445838716407,0.001701445838716407
vehicle_gps_longitude,-0.001602942614146188,0.001602942614146188
shipping_costs,0.0010618631052043389,0.0010618631052043389
