feature,coefficient,abs_coefficient
disruption_likelihood_score,62.321314199465775,62.321314199465775
weather_condition_severity,0.3145224463727502,0.3145224463727502
is_weekend,0.21340917810367052,0.21340917810367052
day_of_week,-0.17647816074880865,0.17647816074880865
port_congestion_level,0.17080814006046607,0.17080814006046607
supplier_reliability_score,0.1654716452941566,0.1654716452941566
shipping_costs,-0.152317442697588,0.152317442697588
quarter,-0.14662856686007442,0.14662856686007442
iot_temperature,0.1431132175374757,0.1431132175374757
cargo_condition_status,-0.13562285427102871,0.13562285427102871
traffic_congestion_level,0.13182755610055893,0.13182755610055893
customs_clearance_time,-0.11269486896349436,0.11269486896349436
vehicle_gps_latitude,0.10726565334177307,0.10726565334177307
month,0.10694751779876309,0.10694751779876309
delay_probability,-0.10491008681791668,0.10491008681791668
route_risk_level,0.10127473494539695,0.10127473494539695
delivery_time_deviation,0.08408354764988288,0.08408354764988288
handling_equipment_availability,-0.06641883406233358,0.06641883406233358
historical_demand,-0.040277977645046044,0.040277977645046044
vehicle_gps_longitude,0.025099608511682144,0.025099608511682144
lead_time_days,0.02312876766372366,0.02312876766372366
loading_unloading_time,0.02092357974154225,0.02092357974154225
order_fulfillment_status,0.0,0.0
driver_behavior_score,0.0,0.0
fatigue_monitoring_score,0.0,0.0
warehouse_inventory_level,0.0,0.0
hour,0.0,0.0
eta_variation_hours,0.0,0.0
fuel_consumption_rate,0.0,0.0
