feature,coefficient,abs_coefficient
disruption_likelihood_score,-3.623877515771028,3.623877515771028
eta_variation_hours,0.12014146869804773,0.12014146869804773
route_risk_level,-0.11886562610872439,0.11886562610872439
warehouse_inventory_level,0.10840061373017293,0.10840061373017293
iot_temperature,-0.08501525792173685,0.08501525792173685
customs_clearance_time,0.0804645006035383,0.0804645006035383
fuel_consumption_rate,0.03952546931209432,0.03952546931209432
lead_time_days,-0.03565334986420141,0.03565334986420141
fatigue_monitoring_score,-0.028075782236149607,0.028075782236149607
hour,-0.024885693806555878,0.024885693806555878
order_fulfillment_status,-0.02121908730850998,0.02121908730850998
driver_behavior_score,-0.01980270741415105,0.01980270741415105
weather_condition_severity,-0.0016988010532052928,0.0016988010532052928
is_weekend,-1.5714197473973177e-05,1.5714197473973177e-05
day_of_week,-1.4517597669509422e-05,1.4517597669509422e-05
month,6.327949427407125e-06,6.327949427407125e-06
traffic_congestion_level,4.982068428384706e-06,4.982068428384706e-06
vehicle_gps_longitude,-1.4528780848211049e-06,1.4528780848211049e-06
handling_equipment_availability,1.0566256654246238e-06,1.0566256654246238e-06
shipping_costs,8.959030445163879e-07,8.959030445163879e-07
vehicle_gps_latitude,-7.870694415927589e-07,7.870694415927589e-07
quarter,3.651486487852235e-07,3.651486487852235e-07
delay_probability,5.864888273085802e-09,5.864888273085802e-09
cargo_condition_status,0.0,0.0
delivery_time_deviation,0.0,0.0
supplier_reliability_score,0.0,0.0
port_congestion_level,0.0,0.0
loading_unloading_time,0.0,0.0
historical_demand,0.0,0.0
