feature,total_abs_coefficient
quarter,0.1956868379652277
month,0.14976415795350845
cargo_condition_status,0.09276180792239831
day_of_week,0.08724681572649007
order_fulfillment_status,0.05246043320072945
delay_probability,0.047475133000096925
driver_behavior_score,0.042008693032056336
route_risk_level,0.03610091095833853
is_weekend,0.035930278831992735
lead_time_days,0.03564601962521487
handling_equipment_availability,0.03383823473397059
shipping_costs,0.03194096046758771
delivery_time_deviation,0.03188504105433525
traffic_congestion_level,0.030529918380063907
vehicle_gps_latitude,0.027216917872188585
hour,0.026588653856277577
warehouse_inventory_level,0.025631706229317874
customs_clearance_time,0.020955653163726495
weather_condition_severity,0.018489526886854186
vehicle_gps_longitude,0.017657530361333523
loading_unloading_time,0.015217123673657094
port_congestion_level,0.014860375821593781
iot_temperature,0.013096090862805103
supplier_reliability_score,0.013044575947035727
eta_variation_hours,0.012519371413652202
fatigue_monitoring_score,0.011556078295534074
fuel_consumption_rate,0.007772453702496832
historical_demand,0.005596640662724615
