,location,temperature,humidity,vibration_level,inventory_status,stock_quantity,supplier_rating,logistics_partner,weather_condition,manual_risk_label
count,3000,3000.0,3000.0,3000.0,3000,3000.0,3000.0,3000,3000,3000.0
unique,3,,,,2,,,4,3,
top,Warehouse_A,,,,in-stock,,,FedEx,sunny,
freq,1031,,,,2694,,,799,2028,
mean,,24.89582,49.945476666666664,1.4818633333333333,,249.59966666666668,2.9928700000000004,,,0.3343333333333333
std,,5.188618883309772,10.198968128676162,1.5019840478565547,,144.33310805881024,1.1519045494876634,,,0.4932568529646135
min,,7.6,16.12,0.0,,0.0,1.0,,,0.0
25%,,21.4075,43.1375,0.4,,124.0,1.99,,,0.0
50%,,24.95,50.09,1.02,,250.0,2.99,,,0.0
75%,,28.44,56.78,2.0524999999999998,,374.0,3.98,,,1.0
max,,42.09,80.87,13.2,,499.0,5.0,,,2.0
